Gene,LD4,LD5,LD6,M,YR,ET,MT,LT,ES,S,LS,GD4,GD6,GD10F,GD10M
PF3D7_1425800,10334.641,15996.211,18444.948,27433.6519,4663.325,5385.458,7681.838,25416.913,50232.435,53824.068,33704.436,48708.732,52296.16,45396.401,11542.0487
PF3D7_1425900,4693.15,31309.612,39202.029,18096.7992,55158.256,78375.08,40747.154,20715.466,18481.225,15835.001,16871.107,105705.912,81408.32,36761.252,172498.7732
PF3D7_1426000,1548503.209,1394599.828,1787038.955,78468.1311,548508.677,911040.47,749201.157,448504.337,175132.137,105467.147,79330.184,25746.02,31297.02,49061.336,84680.1099
PF3D7_1426100,173854.764,136863.954,131233.881,36862.6043,304928.763,461924.7,474593.619,194628.265,61468.609,40347.613,32823.558,81951.365,69964.505,35627.036,8516.7951
PF3D7_1426200,132251.541,147586.462,170047.274,34839.177800000005,127023.388,195677.617,261657.058,150619.304,88069.775,58593.533,45105.463,15741.652,11745.628,8851.406,2691.3162
PF3D7_1426300,0.0,19950.224,30982.38,20997.675,3003.304,896.21,3306.907,25945.678,58821.444,35710.32,32952.267,155371.344,166981.489,57609.053,268158.0046
PF3D7_1426400,,,,2613.89475,201.923,24.863,334.265,3206.414,7286.162,5319.407,4855.046,57750.887,35842.483,10536.635,93322.3087
PF3D7_1426500,0.0,9850.111,21261.365,9750.6447,999.697,40.923,1079.353,5904.194,20099.972,11330.426,14579.686,793999.089,1090178.785,641109.792,1362106.9706
PF3D7_1426600,1649.631,7297.772,12183.471,7373.0403,915.185,310.518,3496.33,14244.615,17512.872,14199.362,10239.78,32188.384,49029.824,75531.076,11464.972
PF3D7_1426700,7645.927,9980.715,21605.676,74082.9034,42715.824,35663.913,23499.929,47440.186,98572.89,87544.349,98366.122,85219.85,101885.986,84718.037,111683.4407
PF3D7_1426800,17023.528,20468.331,22520.712,10117.87815,33994.413,28289.276,18518.852,14684.276,10632.971,8098.318,8628.704,19000.412,13424.668,8121.63,47409.7833
PF3D7_1426900,424254.514,159041.97,231797.233,81308.73955,11179.132,9737.936,46930.777,120148.307,174454.567,125444.475,134154.091,11250.576,15415.912,74813.275,38848.4766
PF3D7_1427000,50742.086,15499.435,20636.643,11454.25665,2149.41,3711.223,17309.071,23847.299,33768.081,19137.646,19526.323,3071.812,2463.427,4599.447,2163.0145
PF3D7_1427100,16110.286,2475.296,3145.978,127133.88745,226232.952,130888.438,22275.053,10221.204,23000.982,21895.46,63104.818,20073.594,33336.798,68893.008,26126.1891
PF3D7_1427200,15817.522,9980.089,12505.119,11087.6214,3724.294,931.415,937.276,8297.607,19861.376,14188.97,17288.607,18919.745,22471.175,27111.217,4604.3219
