Gene,Day2_R1,Day2_R2,Day2_R3,Day4_R1,Day4_R2,Day4_R3,Day5_R1,Day5_R2,Day5_R3,Day6_R1,Day6_R2,Day6_R3,S1,S2,S3,S4,S5
PF3D7_0113800,0,0,0,0,0,0,0,0,0,0,45.1447,0,25224.014,51.8542,21.5974,34.5541,1364.8047
PF3D7_0113900,0,0,0,0,120649.0409,19880.2304,0,21336.1229,42856.9839,17953.2299,34379.2199,21224.5653,0,378.8793,78.9021,252.4738,398.8848
PF3D7_0114000,0,0,0,0,0,0,0,0,35.6011,2907.188,1432.3035,2528.7704,0,90.6432,18.8766,60.4019,95.4293
PF3D7_0114300,0,0,0,0,0,0,0,377.9009,0,0,0,50.1733,0,449.6121,93.6323,299.6081,473.3525
PF3D7_0114500,0,70172.9665,0,0,0,0,0,0,0,86.3892,2026.3828,2981.7248,0,0,86.9443,278.2075,439.5416
PF3D7_0114700,0,0,0,0,0,0,0,0,0,0,0,0,0,1370.1525,0,9434.6288,1442.4991
PF3D7_0115000,0,0,0,0,0,0,0,3736.4055,11718.2969,1079.0632,1.8607,0,0,85.4891,17.8032,56.9674,90.0031
PF3D7_0115600,0,0,0,0,0,0,0,10539.5418,7014.4571,0,0,0,0,379.9863,0,253.2115,0
PF3D7_0115700,0,0,0,0,0,0,0,0,0,315.6206,101.1054,85.1066,1488.7605,69.3324,14.4386,7253.5658,72.9933
PF3D7_0200100,0,0,0,0,0,0,0,0,0,0,181.2026,0,5717.6771,87.635,18.2501,2686.277,92.2623
PF3D7_0200200,0,0,0,0,0,0,0,0,0,0,202.6775,0,2446.9922,423.272,88.147,1410.2788,445.6215
PF3D7_0200500,0,0,0,0,0,0,0,0,0,0,0,0,959.6915,1549.3708,403.3232,1290.5678,2446.7706
PF3D7_0201200,0,0,0,0,0,0,0,0,0,0,0,0,0,2560.4655,622.0905,1421.8479,5840.6027
PF3D7_0201500,0,0,0,0,0,0,13124.0772,7672.407,18105.5377,92884.3211,72900.8107,49188.1784,0,114.1042,23.7624,76.0356,120.1292
PF3D7_0201600,0,0,0,0,0,0,0,1445.1273,1575.6919,3004.3021,9837.8854,3240.422,157.7752,191.0397,39.7843,1145.7285,201.127
PF3D7_0201700,0,0,0,0,0,0,0,1819.1219,1450.1045,2002.1328,2787.6245,1633.8234,15666.5848,381.9392,1193.0904,1527.0772,20507.4228
PF3D7_0201800,0,0,0,0,13390.0077,0,0,1457.8794,2663.0897,1272.5063,1105.1169,774.2407,4167.2935,946.1071,394.0562,3782.7447,3818.2428
PF3D7_0201900,0,0,0,0,0,0,890.6852,746.8782,451.6603,1871.1706,1498.3389,880.7897,43.1694,156.8131,10.8855,383.1503,55.031
PF3D7_0202000,0,0,0,0,7321.597,0,244.8646,8696.313,4605.5472,21980.1694,24526.2288,14971.2443,379.7763,459.8464,23.9409,1302.3184,242.0636
