Gene,ES1,ES2,ES3,ET1,ET2,ET3,LS1,LS2,LS3,LT1,LT2,LT3,M1,M2,M3,MT1,MT2,MT3,S1,S2,S3,YR1,YR2,YR3
PF3D7_1119300,171.0676,156.9295,146.1471,206.9064,173.8467,163.4769,95.0106,78.4068,125.6371,242.1004,195.1316,156.9128,25.3116,87.8185,67.8533,241.075,217.2279,217.2968,142.2667,158.1625,156.355,306.4597,156.9126,211.4929
PF3D7_1119400,108.3149,97.8651,91.1217,87.3441,85.2999,69.3309,46.8349,62.3286,100.7144,88.6615,109.6384,127.1039,15.5167,61.2882,44.1116,58.6781,61.3528,78.3227,105.0717,55.756,119.7989,88.0431,70.3646,92.9209
PF3D7_1119500,148.1388,153.9912,109.3252,115.0831,97.5821,95.8419,59.2621,71.8355,90.8786,114.0066,133.7214,121.644,9.8183,72.6847,43.5652,93.3372,109.1528,98.3415,136.1652,96.5961,80.2243,77.8877,90.7211,99.0592
PF3D7_1119600,103.9569,77.0006,139.9281,82.3119,136.3765,133.5639,68.266,70.6403,100.1641,194.9886,149.2739,132.0823,21.2077,62.6359,60.1669,172.9819,174.2467,185.2224,53.1551,89.4711,95.9819,70.0885,61.2812,84.0459
PF3D7_1119700,31.584,35.7677,19.2131,7.8611,6.786,7.3945,137.6997,86.6691,57.4443,3.1286,15.6654,21.5365,28.9497,48.2807,70.7385,5.6414,6.4352,10.3512,83.2298,9.0343,39.3895,32.2029,12.01,20.8464
PF3D7_1119800,162.0935,125.4229,139.5585,206.468,177.9052,160.4052,126.8285,95.2189,150.2458,120.4942,130.9302,142.881,32.8704,77.7827,52.0835,168.2666,133.0816,143.8554,194.7317,99.2193,81.8505,218.9128,157.235,192.7956
PF3D7_1119900,87.7213,58.9771,75.359,129.9744,88.2706,75.9461,53.8828,44.9899,80.7402,64.3288,59.3271,73.223,24.0983,46.8891,34.1471,41.1822,52.4061,71.0298,89.3577,31.3751,93.0014,209.1864,104.0092,165.0118
PF3D7_1120000,559.1697,953.7502,873.3689,1026.1746,864.9597,813.7697,284.888,391.2801,600.6511,795.8126,765.2996,576.0808,216.729,738.7001,478.5488,911.7464,825.5423,854.5093,324.5543,1770.5832,1200.338,996.177,1240.1581,994.6302
PF3D7_1120100,919.919,678.4618,908.1534,3745.0055,2265.8864,2373.6166,298.0596,310.98,640.9197,1981.739,1533.4953,1519.3726,307.8538,377.721,350.1958,1778.9169,2205.4143,1989.2019,563.0574,652.4862,514.3803,1650.1309,3879.5301,3401.1986
PF3D7_1120200,169.9096,133.0818,94.7976,65.6496,65.3805,59.1832,159.0425,152.9827,178.18,91.728,117.0101,142.9458,23.5912,112.469,71.2522,69.7815,57.9388,65.1803,270.8143,55.2119,100.9925,44.66,68.5088,61.5788
PF3D7_1120300,98.5468,74.414,140.4525,10.0649,30.8603,32.7662,52.1484,60.5388,109.9463,90.5548,89.1783,89.3067,6.1758,65.4984,39.8929,37.1562,68.0374,78.8694,92.1198,83.3971,82.6159,15.1429,12.4117,23.0547
